Community,evenness_simplified,Evenness distribution,Taxonomic distribution,Sequencing Depth (million reads),Pipeline,MAG ID,Domain,Phylum,Class,Order,Family,Genus,Species,Completeness,Contamination,Strain heterogeneity,Original community?,Number of contigs,Contig size (bp),coverage,Relative abundance,species list,Special case?,original_comm,Mismatch
B,Exponential,Exponential decay with abundance plateaus,Very closely related,60,MM,B.5.V.60-MM-bin.7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,98.04,0.02,100,Riemerella anatipestifer,55,2079249,71,0.01371032,Riemerella anatipestifer,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Not closely related,60,DT,A.2.N.60-DT-bin.7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio cholerae,99.86,0.14,0,Vibrio cholerae,108,3973036,36,0.01372675,Vibrio cholerae,Vibrio cholerae,A,TRUE
C,Exponential,Exponential decay,Random,10,MM,C.3.R.10-MM-bin.8,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,99.14,2.12,0,Pseudothermotoga thermarum,572,1976986,12,0.01375568,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Not closely related,60,DT,C.3.N.60-DT-bin.1,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta moutnovskia,100,0.74,0,Vulcanisaeta moutnovskia,24,2304919,63,0.01377012,Vulcanisaeta moutnovskia,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,120,DT,A.3.R.120-DT-bin.9,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,100,0,0,Archaeoglobus fulgidus,51,2130104,137,0.01379065,Archaeoglobus fulgidus,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,120,DT,B.3.R.120-DT-bin.31,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter_A,Helicobacter bilis,96.87,0.12,0,Helicobacter bilis,108,2331006,125,0.01379550,Helicobacter bilis,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina temperata,93.68,0.04,0,Planktomarina temperata,11,2435816,61,0.01380827,Planktomarina temperata,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.33,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina temperata,93.68,0.04,0,Planktomarina temperata,11,2435816,61,0.01380827,Planktomarina temperata,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.38,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina temperata,93.68,0.04,0,Planktomarina temperata,11,2435816,61,0.01380827,Planktomarina temperata,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Very closely related,60,8K,B.5.V.60-8K-bin.15,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,100,0,0,Riemerella anatipestifer,21,2086396,71,0.01381235,Riemerella anatipestifer,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,180,DT,C.2.R.180-DT-bin.16,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Anabaena_A,Anabaena cylindrica,99.44,0.7,14.29,Anabaena cylindrica,280,6282517,69,0.01382832,Anabaena cylindrica,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,120,8K,A.2.R.120-8K-bin.24,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter,Antarctobacter heliothermus,99.25,0.53,0,Antarctobacter heliothermus,36,4498545,66,0.01384460,Antarctobacter heliothermus,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Very closely related,60,MM,B.3.V.60-MM-bin.9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,97.79,0.02,100,Riemerella anatipestifer,53,2074017,72,0.01384786,Riemerella anatipestifer,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,60,8K,C.3.R.60-8K-bin.19,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,23,1788774,83,0.01386555,Thermotoga petrophila,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,60,8K,C.3.R.60-8K-bin.2,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,23,1788774,83,0.01386555,Thermotoga petrophila,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,60,8K,C.3.R.60-8K-bin.34,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,23,1788774,83,0.01386555,Thermotoga petrophila,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,60,8K,C.3.R.60-8K-bin.36,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,23,1788774,83,0.01386555,Thermotoga petrophila,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,10,8K,A.3.R.10-8K-bin.18,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter diazotrophicus,93.35,0.5,0,Gluconacetobacter diazotrophicus,178,3048934,8,0.01388093,Gluconacetobacter diazotrophicus,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Closely related,60,8K,C.2.C.60-8K-bin.10,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,99.15,0.85,0,Granulicella tundricola,27,4135130,36,0.01389419,Granulicella tundricola,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Closely related,60,DT,A.2.C.60-DT-bin.16,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris,Prosthecochloris aestuarii,98.9,0.27,0,Prosthecochloris aestuarii,75,2563711,57,0.01389609,Prosthecochloris aestuarii,#N/A,#N/A,#N/A
A,Exponential,Exponential decay with abundance plateaus,Very closely related,60,8K,A.5.V.60-8K-bin.22,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter diazotrophicus,97.01,0,0,Gluconacetobacter diazotrophicus,66,3261731,46,0.01389699,Gluconacetobacter diazotrophicus,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,60,MM,C.3.R.60-MM-bin.10,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,3.51,0,Thermotoga petrophila,45,1796803,83,0.01391317,Thermotoga petrophila,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Very closely related,60,DT,B.3.V.60-DT-bin.10,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus,99.37,0.63,0,Staphylothermus hellenicus,20,1640135,89,0.01393989,Staphylothermus hellenicus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,30,DT,A.3.R.30-DT-bin.27,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,Hydrogenobacter thermophilus,98.78,1.32,0,Hydrogenobacter thermophilus,27,1782905,41,0.01397313,Hydrogenobacter thermophilus,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Very closely related,60,8K,B.3.V.60-8K-bin.12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,100,0,0,Riemerella anatipestifer,20,2085824,72,0.01397502,Riemerella anatipestifer,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Very closely related,60,8K,B.3.V.60-8K-bin.16,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,100,0,0,Riemerella anatipestifer,20,2085824,72,0.01397502,Riemerella anatipestifer,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Very closely related,60,8K,B.3.V.60-8K-bin.23,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,100,0,0,Riemerella anatipestifer,20,2085824,72,0.01397502,Riemerella anatipestifer,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Very closely related,60,8K,B.3.V.60-8K-bin.40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,100,0,0,Riemerella anatipestifer,20,2085824,72,0.01397502,Riemerella anatipestifer,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,180,8K,C.3.R.180-8K-bin.19,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,22,1779725,254,0.01399473,Thermotoga petrophila,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,180,8K,C.3.R.180-8K-bin.27,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,22,1779725,254,0.01399473,Thermotoga petrophila,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,180,8K,C.3.R.180-8K-bin.45,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,22,1779725,254,0.01399473,Thermotoga petrophila,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,8K,B.5.N.60-8K-bin.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,28,2020808,74,0.01399964,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,8K,B.5.N.60-8K-bin.15,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,28,2020808,74,0.01399964,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,8K,B.5.N.60-8K-bin.40,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,28,2020808,74,0.01399964,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,8K,B.5.N.60-8K-bin.42,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,28,2020808,74,0.01399964,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina temperata,96.11,0.04,0,Planktomarina temperata,12,2471823,61,0.01401033,Planktomarina temperata,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,120,DT,A.2.R.120-DT-bin.20,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,99.59,0,0,Thermocrinis ruber,65,1599861,185,0.01402044,Thermocrinis ruber,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,30,8K,A.2.R.30-8K-bin.20,Bacteria,Firmicutes,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,Anoxybacillus flavithermus,97.27,0.55,0,Anoxybacillus flavithermus,61,2537854,29,0.01402227,Anoxybacillus flavithermus,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,30,8K,A.2.R.30-8K-bin.28,Bacteria,Firmicutes,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,Anoxybacillus flavithermus,97.27,0.55,0,Anoxybacillus flavithermus,61,2537854,29,0.01402227,Anoxybacillus flavithermus,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,30,8K,A.2.R.30-8K-bin.9,Bacteria,Firmicutes,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,Anoxybacillus flavithermus,97.27,0.55,0,Anoxybacillus flavithermus,61,2537854,29,0.01402227,Anoxybacillus flavithermus,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,DT,B.5.N.60-DT-bin.4,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,29,2024853,73,0.01402802,Wolinella succinogenes,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,60,DT,C.3.R.60-DT-bin.3,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.91,0,Thermotoga petrophila,25,1799479,82,0.01404254,Thermotoga petrophila,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Very closely related,60,8K,A.3.V.60-8K-bin.14,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter diazotrophicus,95.52,0,0,Gluconacetobacter diazotrophicus,66,3202014,47,0.01404400,Gluconacetobacter diazotrophicus,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Closely related,60,DT,C.2.C.60-DT-bin.1,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus,100,0.86,0,Terriglobus roseus,57,4557117,32,0.01404674,Terriglobus roseus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,30,DT,A.3.R.30-DT-bin.28,Bacteria,Actinobacteriota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Gordonia,Gordonia bronchialis,99.28,0.51,33.33,Gordonia bronchialis,113,5002927,14,0.01405153,Gordonia bronchialis,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,180,8K,C.3.R.180-8K-bin.32,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,23,1787230,254,0.01405454,Thermotoga petrophila,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Closely related,60,DT,B.3.C.60-DT-bin.19,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus,99.37,0,0,Staphylothermus hellenicus,17,1622594,91,0.01406111,Staphylothermus hellenicus,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Very closely related,60,MM,C.2.V.60-MM-bin.13,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,99.15,0.85,0,Granulicella tundricola,226,4259869,35,0.01409697,Granulicella tundricola,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,180,MM,C.3.R.180-MM-bin.6,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,45,1797323,254,0.01411167,Thermotoga petrophila,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay with abundance plateaus,Very closely related,60,MM,A.4.V.60-MM-bin.5,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium limicola,100,0,0,Chlorobium limicola,108,2585766,58,0.01411373,Chlorobium limicola,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,180,DT,C.3.R.180-DT-bin.8,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,26,1797688,249,0.01412527,Thermotoga petrophila,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,MM,B.5.N.60-MM-bin.5,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,38,2040339,74,0.01412588,Wolinella succinogenes,#N/A,#N/A,#N/A
A,Equal abundance,Equal abundance,Ordered,60,DT,A.1.O.60-DT-bin.18,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,100,2.61,0,Archaeoglobus fulgidus,52,2390679,62,0.01414226,Archaeoglobus fulgidus,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,30,DT,B.2.R.30-DT-bin.2,Archaea,Halobacterota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus utahensis,98.25,2.73,0,Halorhabdus utahensis,32,3126279,23,0.01416832,Halorhabdus utahensis,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,120,8K,C.3.R.120-8K-bin.13,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga_A,Pseudothermotoga caldifontis,96.55,0.47,0,#N/A,8,1992282,153,0.01416850,#N/A,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,120,8K,C.3.R.120-8K-bin.15,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga_A,Pseudothermotoga caldifontis,96.55,0.47,0,#N/A,8,1992282,153,0.01416850,#N/A,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,120,8K,C.3.R.120-8K-bin.28,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga_A,Pseudothermotoga caldifontis,96.55,0.47,0,#N/A,8,1992282,153,0.01416850,#N/A,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,120,8K,C.3.R.120-8K-bin.39,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga_A,Pseudothermotoga caldifontis,96.55,0.47,0,#N/A,8,1992282,153,0.01416850,#N/A,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,120,DT,C.3.R.120-DT-bin.9,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga_A,Pseudothermotoga caldifontis,96.55,0.47,0,#N/A,8,1992282,150,0.01416851,#N/A,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Closely related,60,MM,C.2.C.60-MM-bin.1,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,99.15,0.85,0,Granulicella tundricola,234,4258887,36,0.01420534,Granulicella tundricola,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Very closely related,60,DT,B.5.V.60-DT-bin.14,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus,99.37,0.63,0,Staphylothermus hellenicus,22,1654491,90,0.01421836,Staphylothermus hellenicus,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Closely related,60,DT,C.2.C.60-DT-bin.14,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,99.15,0.85,0,Granulicella tundricola,37,4206599,35,0.01421970,Granulicella tundricola,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,10,8K,C.3.R.10-8K-bin.17,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,100,0,0,Pseudothermotoga thermarum,44,2004676,12,0.01424090,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,10,8K,C.3.R.10-8K-bin.22,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,100,0,0,Pseudothermotoga thermarum,44,2004676,12,0.01424090,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,10,8K,C.3.R.10-8K-bin.31,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,100,0,0,Pseudothermotoga thermarum,44,2004676,12,0.01424090,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,10,8K,C.3.R.10-8K-bin.35,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,100,0,0,Pseudothermotoga thermarum,44,2004676,12,0.01424090,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,10,DT,C.3.R.10-DT-bin.21,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,100,0,0,Pseudothermotoga thermarum,44,2004676,12,0.01424090,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,120,DT,A.2.R.120-DT-bin.19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter,Antarctobacter heliothermus,99.25,0.87,0,Antarctobacter heliothermus,55,4586616,65,0.01427831,Antarctobacter heliothermus,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,DT,B.5.N.60-DT-bin.12,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium kashiwanohense,100,0.98,25,Bifidobacterium kashiwanohense,21,2202062,68,0.01429166,Bifidobacterium kashiwanohense,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,8K,B.5.N.60-8K-bin.25,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium kashiwanohense,100,0.98,25,Bifidobacterium kashiwanohense,21,2202062,70,0.01429166,Bifidobacterium kashiwanohense,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,8K,B.5.N.60-8K-bin.37,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium kashiwanohense,100,0.98,25,Bifidobacterium kashiwanohense,21,2202062,70,0.01429166,Bifidobacterium kashiwanohense,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,8K,B.5.N.60-8K-bin.45,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium kashiwanohense,100,0.98,25,Bifidobacterium kashiwanohense,21,2202062,70,0.01429166,Bifidobacterium kashiwanohense,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Not closely related,60,8K,B.5.N.60-8K-bin.51,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium kashiwanohense,100,0.98,25,Bifidobacterium kashiwanohense,21,2202062,70,0.01429166,Bifidobacterium kashiwanohense,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.37,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio cholerae,98.69,0.03,0,Vibrio cholerae,45,3727767,124,0.01431913,Vibrio cholerae,Vibrio cholerae,A,TRUE
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.43,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio cholerae,98.69,0.03,0,Vibrio cholerae,45,3727767,124,0.01431913,Vibrio cholerae,Vibrio cholerae,A,TRUE
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.45,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio cholerae,98.69,0.03,0,Vibrio cholerae,45,3727767,124,0.01431913,Vibrio cholerae,Vibrio cholerae,A,TRUE
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.58,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio cholerae,98.69,0.03,0,Vibrio cholerae,45,3727767,124,0.01431913,Vibrio cholerae,Vibrio cholerae,A,TRUE
C,Exponential,Exponential decay with abundance plateaus,Very closely related,60,8K,C.5.V.60-8K-bin.20,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides,97.18,0.56,0,Plesiomonas shigelloides,16,2954539,52,0.01433031,Plesiomonas shigelloides,#N/A,#N/A,#N/A
C,Exponential,Exponential decay with abundance plateaus,Very closely related,60,8K,C.5.V.60-8K-bin.29,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides,97.18,0.56,0,Plesiomonas shigelloides,16,2954539,52,0.01433031,Plesiomonas shigelloides,#N/A,#N/A,#N/A
C,Exponential,Exponential decay with abundance plateaus,Very closely related,60,8K,C.5.V.60-8K-bin.32,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides,97.18,0.56,0,Plesiomonas shigelloides,16,2954539,52,0.01433031,Plesiomonas shigelloides,#N/A,#N/A,#N/A
C,Exponential,Exponential decay with abundance plateaus,Very closely related,60,8K,C.5.V.60-8K-bin.33,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides,97.18,0.56,0,Plesiomonas shigelloides,16,2954539,52,0.01433031,Plesiomonas shigelloides,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,30,MM,A.2.R.30-MM-bin.10,Bacteria,Firmicutes,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,Anoxybacillus flavithermus,98.36,1.09,0,Anoxybacillus flavithermus,142,2613136,29,0.01434278,Anoxybacillus flavithermus,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,DT,B.2.R.180-DT-bin.3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Brucella melitensis,99.44,9.3,0,#N/A,287,3586362,127,0.01435742,Brucella melitensis,Brucella melitensis,A,FALSE
B,Exponential,Exponential decay,Random,60,8K,B.3.R.60-8K-bin.12,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter_A,Porphyrobacter atlanticus,96.73,0.04,50,#N/A,13,3034829,51,0.01437052,#N/A,#N/A,#N/A,#N/A
